Meta information
"Meta Platforms; Inc.";1601 Willow Road;"Menlo Park; CA 94025-1452";United States

Advertiser Information
1101 S Winchester blvd;J-225;"san jose; CA 95128";United States

Billing Report: 10/02/2023 - 10/26/2023

Meta Ads payment
Payment Method: Visa · 9653
Date;Transaction ID;Amount;Currency
10/23/2023;6660114940767867-13572054;900;USD
10/17/2023;6687598381352852-13529895;122.52;USD
10/17/2023;6616718701774157-13528572;410.09;USD
10/12/2023;6620748131371215-13497780;900;USD
10/3/2023;6581989615247067-13429271;900;USD
Total Amount Billed;"3,232.61";USD

Meta Ads payment
Payment Method: Ad Credit
Date;Transaction ID;Amount;Currency
10/25/2023;6667888889990472-13587681;0.02;USD
Total Amount Billed;0.02;USD

